Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, RUN1",SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,2,Button,434133025816
C1,0603,1,1u,C0603C105K4RACTU
"C14, C15, C3, C4, C44, C5",0603,6,0.1u,C0603C104K5RACTU
"C2, C28, C31, C32, C33, C34, C35, C36, C37, C38, C40, C41",0402,12,100n,C0402C104K4RACTU
"C23, C24",0402,2,15p,GJM1555C1H150GB01D
"C25, C39",0603,2,10u,LMK107BBJ106MALT
"C26, C27, C29, C30",0402,4,4.7u,CL05A475MP5NRNC
C42,CAPAE1030X1225N,1,330u,A768MS337M1VLAS022
"C43, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C8",0603,12,10u,GRM188R6YA106MA73D
"D1, D2, D3",DIO_MSS1P6-M3_89A,3,MSS1P6-M3_89A,MSS1P6-M3/89A
J1,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,1,10103594-0001LF,10103594-0001LF
J2,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,SM03B-SRSS-TB,SM03B-SRSS-TB
J3,AMASS_XT60PW-F,1,XT60PW-F,XT60PW-F
J5,WURTH_61300411121,1,61300411121,61300411121
J6,JST_S2B-PH-K-S_LF__SN_,1,S2B-PH-K-S_LF__SN_,
L2,L_Cenker_CKCS201610,1,3.3u,AOTA-B201610S3R3-101-T
"MOSFET1, MOSFET10, MOSFET2, MOSFET7, MOSFET8, MOSFET9",DFN5X6_8L_EP1_P_AOS,6,NMOS,AON6512
"R100, R98, R99",0603,3,33,RC0603FR-0733RL
"R26, R28, R30, R31, R32, R34, R35, R36, R55, R57, R68, R69, R87, R88, R90, R91, R92, R94, R95, R96, R97",0603,21,10k,RC0603FR-0710KL
"R27, R6, R66, R67, R71, R86",0603,6,22,RC0603FR-0722RL
"R29, R70, R89",2512,3,5m,CSSU2512FT5L00
"R33, R56, R93",0603,3,1M,RC0603FR-071ML
R76,0402,1,0,RC0402JR-070RL
"R80, R81, R83",0402,3,1k,RC0402FR-071KL
R82,0402,1,33,RC0402JR-0733RL
"R84, R85",0402,2,27,RC0402JR-0727RL
U10,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
U12,SOT-223-3_TabPin2,1,NCP1117ST33T3G,NCP1117ST33T3G
U13,RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350B,SC1510-A4
"U14, U15, U16",SOT-23-5,3,LM397,LM397MFX/NOPB
U17,SOIC-20W_7.5x12.8mm_P1.27mm,1,FAN7388,FAN7388MX
"U19, U20, U21",SOP65P640X120-8N,3,INA240A1PWR,INA240A1PWR
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,ABM8-272-T3
