Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,144.6,-37.9,180.0,top
C1,182.6,-83.255,270.0,top
C14,183.3375,-72.48,90.0,top
C15,183.4,-77.925,90.0,top
C2,149.249178,-45.124653,0.0,top
C23,153.599178,-69.524653,180.0,top
C24,155.959178,-69.524653,0.0,top
C25,168.304178,-43.224653,0.0,top
C26,157.626011,-54.087986,0.0,top
C27,157.636011,-53.037986,0.0,top
C28,147.12,-60.174653,180.0,top
C29,160.85601,-53.29132,270.0,top
C3,141.7,-101.15,180.0,top
C30,157.679178,-71.244653,270.0,top
C31,162.899178,-59.524653,0.0,top
C32,153.256011,-50.187986,90.0,top
C33,147.566011,-55.077986,180.0,top
C34,153.496011,-66.957986,270.0,top
C35,152.146011,-67.007986,270.0,top
C36,161.379178,-56.974653,0.0,top
C37,161.849178,-60.524653,0.0,top
C38,147.6,-58.5,180.0,top
C39,166.225,-55.1,180.0,top
C4,159.8,-101.45,180.0,top
C40,161.259178,-64.474653,0.0,top
C41,147.929178,-62.424653,180.0,top
C42,181.6,-57.25,180.0,top
C43,169.016667,-94.15,90.0,top
C44,168.2,-81.88,270.0,top
C5,177.6,-101.5,180.0,top
C53,171.183333,-94.15,90.0,top
C54,173.35,-94.15,90.0,top
C55,148.9,-93.875,90.0,top
C56,151.183333,-93.875,90.0,top
C57,153.466667,-93.875,90.0,top
C58,155.75,-93.875,90.0,top
C59,184.7,-93.85,90.0,top
C60,186.866667,-93.85,90.0,top
C61,189.033333,-93.85,90.0,top
C62,191.2,-93.85,90.0,top
C8,166.85,-94.15,90.0,top
D1,183.4,-68.775,90.0,top
D2,186.4,-77.1,0.0,top
D3,169.6,-84.7,180.0,top
J1,154.525,-35.215,180.0,top
J2,162.2,-73.1,0.0,top
J3,181.98075,-38.526,0.0,top
J4,167.729178,-36.574653,0.0,top
J5,142.5,-59.9,270.0,top
L2,157.586011,-50.477986,0.0,top
MOSFET1,153.365,-101.8044,90.0,top
MOSFET10,182.6,-101.8044,270.0,top
MOSFET2,147.07,-101.8044,270.0,top
MOSFET7,171.305,-101.8044,90.0,top
MOSFET8,164.81,-101.8044,270.0,top
MOSFET9,188.965,-101.8044,90.0,top
R100,169.825,-87.0875,180.0,top
R26,155.6,-107.3,90.0,top
R27,142.65,-96.275,270.0,top
R28,141.75,-99.0,0.0,top
R29,146.565,-110.1,90.0,top
R30,142.425,-87.1125,270.0,top
R31,146.225,-86.3,180.0,top
R32,141.425,-83.7125,90.0,top
R33,147.2,-83.1,90.0,top
R34,146.025,-80.3125,180.0,top
R35,151.228125,-86.86875,270.0,top
R36,154.628125,-86.04375,180.0,top
R55,149.828125,-83.64375,90.0,top
R56,155.428125,-83.04375,90.0,top
R57,154.603125,-79.84375,180.0,top
R6,155.4,-103.325,270.0,bottom
R66,160.65,-96.35,270.0,top
R67,173.4,-103.675,270.0,bottom
R68,173.4,-107.7,90.0,top
R69,159.85,-99.0,0.0,top
R70,164.105,-110.1,90.0,top
R71,178.35,-96.35,270.0,top
R76,140.096011,-44.627986,0.0,top
R80,140.3,-74.1,0.0,top
R81,155.079178,-67.524653,270.0,top
R82,161.479178,-51.724653,180.0,top
R83,139.6,-42.01,90.0,top
R84,154.286011,-50.187986,270.0,top
R85,155.366011,-50.207986,270.0,top
R86,190.8,-103.725,270.0,bottom
R87,191.4,-107.075,90.0,top
R88,177.75,-99.25,0.0,top
R89,182.2,-110.1,90.0,top
R90,159.575,-86.675,270.0,top
R91,163.475,-85.8,180.0,top
R92,158.375,-83.25,90.0,top
R93,164.175,-82.875,90.0,top
R94,163.25,-79.85,180.0,top
R95,149.6,-88.475,90.0,bottom
R96,151.2,-88.5,90.0,bottom
R97,152.8,-88.5,90.0,bottom
R98,181.2,-68.7,90.0,top
R99,186.4,-78.9,0.0,top
RUN1,140.875,-70.15,90.0,top
U10,145.096011,-48.677986,270.0,top
U12,167.179178,-48.524653,90.0,top
U13,154.632678,-60.324653,0.0,top
U14,144.2,-83.3625,270.0,top
U15,152.653125,-82.9625,270.0,top
U16,161.4,-82.9,270.0,top
U17,175.75,-77.055,270.0,top
U19,141.46,-106.5,90.0,top
U20,159.505,-106.5,90.0,top
U21,177.6,-106.5,90.0,top
Y1,154.8,-72.9,0.0,top
